key,응시년도,모의고사,문항번호,문장번호,문장
1,2023,11,18,1,My name is Michael Brown.
2,2023,11,18,2,I have been a bird-watcher since childhood.
3,2023,11,18,3,I have always enjoyed watching birds in my yard and identifying them by sight and sound. 
4,2023,11,18,4,"Yesterday, I happened to read an article about your club. "
5,2023,11,18,5,I was surprised and excited to find out about a community of passionate bird-watchers who travel annually to go birding. 
6,2023,11,18,6,"I would love to join your club, but your website appears to be under construction. "
7,2023,11,18,7,I could not find any information except for this contact email address. 
8,2023,11,18,8,I would like to know how to sign up for the club. I look forward to your reply.
9,2023,11,19,1,"Putting all of her energy into her last steps of the running race, Jamie crossed the finish line."
10,2023,11,19,2,"To her disappointment, she had failed to beat her personal best time, again."
11,2023,11,19,3,"Jamie had pushed herself for months to finally break her record, but it was all for nothing."
12,2023,11,19,4,"Recognizing how she felt about her failure, Ken, her teammate, approached her and said, “Jamie, even though you didn’t set a personal best time today, your performances have improved dramatically. Your running skills have progressed so much! You’ll definitely break your personal best time in the next race!”"
13,2023,11,19,5,"After hearing his comments, she felt confident about herself. "
14,2023,11,19,6,"Jamie, now motivated to keep pushing for her goal, replied with a smile. "
15,2023,11,19,7,"“You’re right! Next race, I’ll beat my best time for sure!”"
16,2023,11,20,1,At every step in our journey through life we encounter junctions with many different pathways leading into the distance.
17,2023,11,20,2,Each choice involves uncertainty about which path will get you to your destination.
18,2023,11,20,3,Trusting our intuition to make the choice often ends up with us making a suboptimal choice. 
19,2023,11,20,4,Turning the uncertainty into numbers has proved a potent way of analyzing the paths and finding the shortcut to your destination. 
20,2023,11,20,5,"The mathematical theory of probability hasn’t eliminated risk, but it allows us to manage that risk more effectively. "
21,2023,11,20,6,The strategy is to analyze all the possible scenarios that the future holds and then to see what proportion of them lead to success or failure. 
22,2023,11,20,7,This gives you a much better map of the future on which to base your decisions about which path to choose.
23,2023,11,21,1,"Coming of age in the 18th and 19th centuries, the personal diary became a centerpiece in the construction of a modern subjectivity, at the heart of which is the application of reason and critique to the understanding of world and self, which allowed the creation of a new kind of knowledge. "
24,2023,11,21,2,Diaries were central media through which enlightened and free subjects could be constructed. 
25,2023,11,21,3,"They provided a space where one could write daily about her whereabouts, feelings, and thoughts. "
26,2023,11,21,4,"Over time and with rereading, disparate entries, events, and happenstances could be rendered into insights and narratives about the self, and allowed for the formation of subjectivity."
27,2023,11,21,5,It is in that context that the idea of “the self [as] both made and explored with words” emerges. 
28,2023,11,21,6,"Diaries were personal and private; one would write for oneself, or, in Habermas’s formulation, one would make oneself public to oneself. "
29,2023,11,21,7,"By making the self public in a private sphere, the self also became an object for self-inspection and self-critique."
30,2023,11,22,1,"Urban delivery vehicles can be adapted to better suit the density of urban distribution, which often involves smaller vehicles such as vans, including bicycles."
31,2023,11,22,2,"The latter have the potential to become a preferred ‘last-mile’ vehicle, particularly in high-density and congested areas."
32,2023,11,22,3,"In locations where bicycle use is high, such as the Netherlands, delivery bicycles are also used to carry personal cargo (e.g. groceries). "
33,2023,11,22,4,"Due to their low acquisition and maintenance costs, cargo bicycles convey much potential in developed and developing countries alike, such as the becak (a three-wheeled bicycle) in Indonesia. "
34,2023,11,22,5,Services using electrically assisted delivery tricycles have been successfully implemented in France and are gradually being adopted across Europe for services as varied as parcel and catering deliveries. 
35,2023,11,22,6,"Using bicycles as cargo vehicles is particularly encouraged when combined with policies that restrict motor vehicle access to specific areas of a city, such as downtown or commercial districts, or with the extension of dedicated bike lanes."
36,2023,11,23,1,"An important advantage of disclosure, as opposed to more aggressive forms of regulation, is its flexibility and respect for the operation of free markets."
37,2023,11,23,2,Regulatory mandates are blunt swords; they tend to neglect diversity and may have serious unintended adverse effects. 
38,2023,11,23,3,"For example, energy efficiency requirements for appliances may produce goods that work less well or that have characteristics that consumers do not want."
39,2023,11,23,4,"Information provision, by contrast, respects freedom of choice. "
40,2023,11,23,5,"If automobile manufacturers are required to measure and publicize the safety characteristics of cars, potential car purchasers can trade safety concerns against other attributes, such as price and styling. "
41,2023,11,23,6,"If restaurant customers are informed of the calories in their meals, those who want to lose weight can make use of the information, leaving those who are unconcerned about calories unaffected. "
42,2023,11,23,7,"Disclosure does not interfere with, and should even promote, the autonomy (and quality) of individual decision-making."
43,2023,11,24,1,Different parts of the brain’s visual system get information on a need-to-know basis. 
44,2023,11,24,2,"Cells that help your hand muscles reach out to an object need to know the size and location of the object, but they don’t need to know about color. "
45,2023,11,24,3,"They need to know a little about shape, but not in great detail. "
46,2023,11,24,4,"Cells that help you recognize people’s faces need to be extremely sensitive to details of shape, but they can pay less attention to location. "
47,2023,11,24,5,"It is natural to assume that anyone who sees an object sees everything about it ― the shape, color, location, and movement. "
48,2023,11,24,6,"However, one part of your brain sees its shape, another sees color, another detects location, and another perceives movement. "
49,2023,11,24,7,"Consequently, after localized brain damage, it is possible to see certain aspects of an object and not others. "
50,2023,11,24,8,"Centuries ago, people found it difficult to imagine how someone could see an object without seeing what color it is. "
51,2023,11,24,9,"Even today, you might find it surprising to learn about people who see an object without seeing where it is, or see it without seeing whether it is moving."
52,2023,11,25,1,"The above graph shows the percentages of Americans’ preferred type of place to live by age group, based on a 2020 survey. "
53,2023,11,25,2,"In each of the three age groups, Town/Rural Area was the most preferred type of place to live. "
54,2023,11,25,3,"In the 18-34 year-olds group, the percentage of those who preferred Big/Small City was higher than that of those who preferred Suburb of Big/Small City. "
55,2023,11,25,4,"In the 35-54 year-olds group, the percentage of those who preferred Suburb of Big/Small City exceeded that of those who preferred Big/Small City. "
56,2023,11,25,5,"In the 55 year-olds and older group, the percentage of those who chose Big/Small City among the three preferred types of place to live was the lowest. "
57,2023,11,25,6,Each percentage of the three preferred types of place to live was higher than 20% across the three age groups.
58,2023,11,26,1,"Niklas Luhmann, a renowned sociologist of the twentieth century, was born in L?neburg, Germany in 1927. "
59,2023,11,26,2,"After World War II, he studied law at the University of Freiburg until 1949. "
60,2023,11,26,3,"Early in his career, he worked for the State of Lower Saxony, where he was in charge of educational reform. "
61,2023,11,26,4,"In 1960?1961, Luhmann had the chance to study sociology at Harvard University, where he was influenced by Talcott Parsons, one of the most famous social system theorists. "
62,2023,11,26,5,"Later, Luhmann developed his own social system theory. "
63,2023,11,26,6,"In 1968, he became a professor of sociology at the University of Bielefeld. "
64,2023,11,26,7,"He researched a variety of subjects, including mass media and law. "
65,2023,11,26,8,"Although his books are known to be difficult to translate, they have in fact been widely translated into other languages."
66,2023,11,27,1,"At the Natural Jade Resort, we are continually improving our facilities to better serve our guests. "
67,2023,11,27,2,"Therefore, we will be renovating some areas of the resort, according to the schedule below."
68,2023,11,27,3,All outdoor leisure activities will be available as usual.
69,2023,11,27,4,Guests will receive a 15% discount for all meals in the restaurant.
70,2023,11,27,5,Guests may use the tennis courts for free.
71,2023,11,27,6,We will take all possible measures to minimize noise and any other inconvenience. 
72,2023,11,27,7,We sincerely appreciate your understanding.
73,2023,11,28,1,Join this year’s Valestown Recycles Poster Contest and show off your artistic talent!
74,2023,11,28,2,Participation is only for high school students in Valestown.
75,2023,11,28,3,Participants should use the theme of “Recycling for the Future.”
76,2023,11,28,4,Submissions are limited to one poster per person.
77,2023,11,28,5,"Submissions should be uploaded to the website by 6 p.m., December 19."
78,2023,11,28,6,Winners will be announced on the website on December 28.
79,2023,11,28,7,"For more information, please visit www.vtco.org."
80,2023,11,29,1,"Trends constantly suggest new opportunities for individuals to restage themselves, representing occasions for change. "
81,2023,11,29,2,"To understand how trends can ultimately give individuals power and freedom, one must first discuss fashion’s importance as a basis for change. "
82,2023,11,29,3,The most common explanation offered by my informants as to why fashion is so appealing is that it constitutes a kind of theatrical costumery. 
83,2023,11,29,4,"Clothes are part of how people present them to the world, and fashion locates them in the present, relative to what is happening in society and to fashion’s own history. "
84,2023,11,29,5,"As a form of expression, fashion contains a host of ambiguities, enabling individuals to recreate the meanings associated with specific pieces of clothing. "
85,2023,11,29,6,"Fashion is among the simplest and cheapest methods of self-expression: clothes can be inexpensively purchased while making it easy to convey notions of wealth, intellectual stature, relaxation or environmental consciousness, even if none of these is true. "
86,2023,11,29,7,"Fashion can also strengthen agency in various ways, opening up space for action."
87,2023,11,30,1,Everywhere we turn we hear about almighty “cyberspace”! 
88,2023,11,30,2,"The hype promises that we will leave our boring lives, put on goggles and body suits, and enter some metallic, three-dimensional, multimedia otherworld. "
89,2023,11,30,3,"When the Industrial Revolution arrived with its great innovation, the motor, we didn’t leave our world to go to some remote motorspace! "
90,2023,11,30,4,"On the contrary, we brought the motors into our lives, as automobiles, refrigerators, drill presses, and pencil sharpeners. "
91,2023,11,30,5,"This absorption has been so complete that we refer to all these tools with names that declare their usage, not their “motorness.” "
92,2023,11,30,6,These innovations led to a major socioeconomic movement precisely because they entered and affected profoundly our everyday lives. 
93,2023,11,30,7,People have not changed fundamentally in thousands of years. 
94,2023,11,30,8,Technology changes constantly. 
95,2023,11,30,9,It’s the one that must adapt to us. 
96,2023,11,30,10,That’s exactly what will happen with information technology and its devices under human-centric computing. 
97,2023,11,30,11,"The longer we continue to believe that computers will take us to a magical new world, the longer we will maintain their natural fusion with our lives, the hallmark of every major movement that aspires to be called a socioeconomic revolution."
98,2023,11,31,1,"There is something deeply paradoxical about the professional status of sports journalism, especially in the medium of print. "
99,2023,11,31,2,"In discharging their usual responsibilities of description and commentary, reporters’ accounts of sports events are eagerly consulted by sports fans, while in their broader journalistic role of covering sport in its many forms, sports journalists are among the most visible of all contemporary writers. "
100,2023,11,31,3,"The ruminations of the elite class of ‘celebrity’ sports journalists are much sought after by the major newspapers, their lucrative contracts being the envy of colleagues in other ‘disciplines’ of journalism. "
101,2023,11,31,4,"Yet sports journalists do not have a standing in their profession that corresponds to the size of their readerships or of their pay packets, with the old saying (now reaching the status of clich?) that sport is the ‘toy department of the news media’ still readily to hand as a dismissal of the worth of what sports journalists do. "
102,2023,11,31,5,This reluctance to take sports journalism seriously produces the paradoxical outcome that sports newspaper writers are much read but little admired.
103,2023,11,32,1,People have always wanted to be around other people and to learn from them. 
104,2023,11,32,2,"Cities have long been dynamos of social possibility, foundries of art, music, and fashion. "
105,2023,11,32,3,"Slang, or, if you prefer, “lexical innovation,” has always started in cities ― an outgrowth of all those different people so frequently exposed to one another. "
106,2023,11,32,4,"It spreads outward, in a manner not unlike transmissible disease, which itself typically “takes off” in cities. "
107,2023,11,32,5,"If, as the noted linguist Leonard Bloomfield argued, the way a person talks is a “composite result of what he has heard before,” then language innovation would happen where the most people heard and talked to the most other people. "
108,2023,11,32,6,"Cities drive taste change because they offer the greatest exposure to other people, who not surprisingly are often the creative people cities seem to attract. "
109,2023,11,32,7,"Media, ever more global, ever more far-reaching, spread language faster to more people."
110,2023,11,33,1,"The entrance to a honeybee colony, often referred to as the dancefloor, is a market place for information about the state of the colony and the environment outside the hive. "
111,2023,11,33,2,Studying interactions on the dancefloor provides us with a number of illustrative examples of how individuals changing their own behavior in response to local information allow the colony to regulate its workforce. 
112,2023,11,33,3,"For example, upon returning to their hive honeybees that have collected water search out a receiver bee to unload their water to within the hive. "
113,2023,11,33,4,If this search time is short then the returning bee is more likely to perform a waggle dance to recruit others to the water source. 
114,2023,11,33,5,"Conversely, if this search time is long then the bee is more likely to give up collecting water. "
115,2023,11,33,6,"Since receiver bees will only accept water if they require it, either for themselves or to pass on to other bees and brood, this unloading time is correlated with the colony’s overall need of water. "
116,2023,11,33,7,Thus the individual water forager’s response to unloading time (up or down) regulates water collection in response to the colony’s need.
117,2023,11,34,1,"We understand that the segregation of our consciousness into present, past, and future is both a fiction and an oddly self-referential framework; your present was part of your mother’s future, and your children’s past will be in part your present. "
118,2023,11,34,2,"Nothing is generally wrong with structuring our consciousness of time in this conventional manner, and it often works well enough. "
119,2023,11,34,3,"In the case of climate change, however, the sharp division of time into past, present, and future has been desperately misleading and has, most importantly, hidden from view the extent of the responsibility of those of us alive now."
120,2023,11,34,4,The narrowing of our consciousness of time smooths the way to divorcing ourselves from responsibility for developments in the past and the future with which our lives are in fact deeply intertwined. 
121,2023,11,34,5,"In the climate case, it is not that we face the facts but then deny our responsibility. "
122,2023,11,34,6,"It is that the realities are obscured from view by the partitioning of time, and so questions of responsibility toward the past and future do not arise naturally."
123,2023,11,35,1,"Actors, singers, politicians and countless others recognise the power of the human voice as a means of communication beyond the simple decoding of the words that are used. "
124,2023,11,35,2,"Learning to control your voice and use it for different purposes is, therefore, one of the most important skills to develop as an early career teacher. "
125,2023,11,35,3,"The more confidently you give instructions, the higher the chance of a positive class response. "
126,2023,11,35,4,"There are times when being able to project your voice loudly will be very useful when working in school, and knowing that you can cut through a noisy classroom, dinner hall or playground is a great skill to have. "
127,2023,11,35,5,"In order to address serious noise issues in school, students, parents and teachers should search for a solution together. "
128,2023,11,35,6,"However, I would always advise that you use your loudest voice incredibly sparingly and avoid shouting as much as possible. "
129,2023,11,35,7,"A quiet, authoritative and measured tone has so much more impact than slightly panicked shouting."
130,2023,11,36,1,A fascinating species of water flea exhibits a kind of flexibility that evolutionary biologists call adaptive plasticity. 
131,2023,11,36,2,"If the baby water flea is developing into an adult in water that includes the chemical signatures of creatures that prey on water fleas, it develops a helmet and spines to defend itself against predators. "
132,2023,11,36,3,"If the water around it doesn’t include the chemical signatures of predators, the water flea doesn’t develop these protective devices. "
133,2023,11,36,4,"That’s a clever trick, because producing spines and a helmet is costly, in terms of energy, and conserving energy is essential for an organism’s ability to survive and reproduce. "
134,2023,11,36,5,The water flea only expends the energy needed to produce spines and a helmet when it needs to. 
135,2023,11,36,6,So it may well be that this plasticity is an adaptation: a trait that came to exist in a species because it contributed to reproductive fitness. 
136,2023,11,36,7,"There are many cases, across many species, of adaptive plasticity. "
137,2023,11,36,8,Plasticity is conducive to fitness if there is sufficient variation in the environment.
138,2023,11,37,1,"The most commonly known form of results-based pricing is a practice called contingency pricing, used by lawyers. "
139,2023,11,37,2,Contingency pricing is the major way that personal injury and certain consumer cases are billed. 
140,2023,11,37,3,"In this approach, lawyers do not receive fees or payment until the case is settled, when they are paid a percentage of the money that the client receives. "
141,2023,11,37,4,"Therefore, only an outcome in the client’s favor is compensated. "
142,2023,11,37,5,"From the client’s point of view, the pricing makes sense in part because most clients in these cases are unfamiliar with and possibly intimidated by law firms. "
143,2023,11,37,6,Their biggest fears are high fees for a case that may take years to settle. 
144,2023,11,37,7,"By using contingency pricing, clients are ensured that they pay no fees until they receive a settlement. "
145,2023,11,37,8,"In these and other instances of contingency pricing, the economic value of the service is hard to determine before the service, and providers develop a price that allows them to share the risks and rewards of delivering value to the buyer."
146,2023,11,38,1,Parks take the shape demanded by the cultural concerns of their time. 
147,2023,11,38,2,"Once parks are in place, they are no inert stage ― their purposes and meanings are made and remade by planners and by park users. "
148,2023,11,38,3,"Moments of park creation are particularly telling, however, for they reveal and actualize ideas about nature and its relationship to urban society. "
149,2023,11,38,4,"Indeed, what distinguishes a park from the broader category of public space is the representation of nature that parks are meant to embody. "
150,2023,11,38,5,"Public spaces include parks, concrete plazas, sidewalks, even indoor atriums. "
151,2023,11,38,6,"Parks typically have trees, grass, and other plants as their central features. "
152,2023,11,38,7,"When entering a city park, people often imagine a sharp separation from streets, cars, and buildings. "
153,2023,11,38,8,"There’s a reason for that: traditionally, park designers attempted to create such a feeling by planting tall trees at park boundaries, building stone walls, and constructing other means of partition. "
154,2023,11,38,9,"What’s behind this idea is not only landscape architects’ desire to design aesthetically suggestive park spaces, but a much longer history of Western thought that envisions cities and nature as antithetical spaces and oppositional forces."
155,2023,11,39,1,"Negotiators should try to find ways to slice a large issue into smaller pieces, known as using salami tactics. "
156,2023,11,39,2,"Issues that can be expressed in quantitative, measurable units are easy to slice. "
157,2023,11,39,3,"For example, compensation demands can be divided into cents-per-hour increments or lease rates can be quoted as dollars per square foot. "
158,2023,11,39,4,"When working to fractionate issues of principle or precedent, parties may use the time horizon (when the principle goes into effect or how long it will last) as a way to fractionate the issue. "
159,2023,11,39,5,It may be easier to reach an agreement when settlement terms don’t have to be implemented until months in the future. 
160,2023,11,39,6,Another approach is to vary the number of ways that the principle may be applied. 
161,2023,11,39,7,"For example, a company may devise a family emergency leave plan that allows employees the opportunity to be away from the company for a period of no longer than three hours, and no more than once a month, for illness in the employee’s immediate family."
162,2023,11,40,1,“Craftsmanship” may suggest a way of life that declined with the arrival of industrial society ― but this is misleading. 
163,2023,11,40,2,"Craftsmanship names an enduring, basic human impulse, the desire to do a job well for its own sake. "
164,2023,11,40,3,"Craftsmanship cuts a far wider swath than skilled manual labor; it serves the computer programmer, the doctor, and the artist; parenting improves when it is practiced as a skilled craft, as does citizenship. "
165,2023,11,40,4,"In all these domains, craftsmanship focuses on objective standards, on the thing in itself. "
166,2023,11,40,5,"Social and economic conditions, however, often stand in the way of the craftsman’s discipline and commitment: schools may fail to provide the tools to do good work, and workplaces may not truly value the aspiration for quality."
167,2023,11,40,6,"And though craftsmanship can reward an individual with a sense of pride in work, this reward is not simple. "
168,2023,11,40,7,"The craftsman often faces conflicting objective standards of excellence; the desire to do something well for its own sake can be weakened by competitive pressure, by frustration, or by obsession."
169,2023,11,41-42,1,There is evidence that even very simple algorithms can outperform expert judgement on simple prediction problems. 
170,2023,11,41-42,2,"For example, algorithms have proved more accurate than humans in predicting whether a prisoner released on parole will go on to commit another crime, or in predicting whether a potential candidate will perform well in a job in future. "
171,2023,11,41-42,3,"In over 100 studies across many different domains, half of all cases show simple formulas make better significant predictions than human experts, and the remainder (except a very small handful), show a tie between the two. "
172,2023,11,41-42,4,"When there are a lot of different factors involved and a situation is very uncertain, simple formulas can win out by focusing on the most important factors and being consistent, while human judgement is too easily influenced by particularly salient and perhaps irrelevant considerations. "
173,2023,11,41-42,5,A similar idea is supported by further evidence that ‘checklists’ can improve the quality of expert decisions in a range of domains by ensuring that important steps or considerations aren’t missed when people are feeling relaxed.
174,2023,11,41-42,6,"For example, treating patients in intensive care can require hundreds of small actions per day, and one small error could cost a life. "
175,2023,11,41-42,7,"Using checklists to ensure that no crucial steps are missed has proved to be remarkably effective in a range of medical contexts, from preventing live infections to reducing pneumonia."
176,2023,11,43-45,1,"“Hailey, be careful!” Camila yelled uneasily, watching her sister carrying a huge cake to the table. "
177,2023,11,43-45,2,"“Don’t worry, Camila,” Hailey responded, smiling. "
178,2023,11,43-45,3,Camila relaxed only when Hailey had safely placed the cake on the party table. 
179,2023,11,43-45,4,“Dad will be here shortly. What gift did you buy for his birthday?” Camila asked out of interest. 
180,2023,11,43-45,5,“Dad will be surprised to find out what it is!” Hailey answered with a wink. 
181,2023,11,43-45,6,"“I bet you bought a wallet or a watch for him,” Camila said. "
182,2023,11,43-45,7,"In reply, Hailey answered, “No. I bought something much more personal. By the way, there’s something you should know about Dad...” "
183,2023,11,43-45,8,They were suddenly interrupted by the doorbell ringing. 
184,2023,11,43-45,9,It was their dad and they were overjoyed to see him. 
185,2023,11,43-45,10,"“My lovely ladies, thank you for inviting me to your place for my birthday.” He walked in joyfully, hugging his daughters. "
186,2023,11,43-45,11,"They all walked into the dining room, where he was greeted with a rainbow-colored birthday cake and fifty red roses. "
187,2023,11,43-45,12,"“Happy birthday! You’re fifty today, Dad. We love you!” Camila said before her sister handed him a small parcel. "
188,2023,11,43-45,13,"When he opened it, he discovered a pair of glasses inside. "
189,2023,11,43-45,14,"“Hailey, Dad doesn’t have eyesight problems,” Camila said, puzzled. "
190,2023,11,43-45,15,"“Actually Camila, I recently found out he has long been suffering from color blindness. "
191,2023,11,43-45,16,"He’s kept it a secret so as not to worry us,” Hailey explained. "
192,2023,11,43-45,17,"“Dad, these glasses can help correct your red-green color blindness,” said Hailey. "
193,2023,11,43-45,18,"He slowly put them on, and stared at the birthday presents on the table. "
194,2023,11,43-45,19,"Seeing vivid red and green colors for the first time ever, he started to cry. "
